k,ma_filter,ma_exit,avg_sortino,avg_cagr,avg_mdd,ew_sortino,ew_mdd
0.6000,30,10,7.9888,1.1245,-0.2346,11.0918,-0.1652
0.5000,30,10,7.9912,1.1379,-0.2148,10.6648,-0.1649
0.8000,50,10,7.8463,0.9208,-0.2257,10.2519,-0.2105
0.4000,30,10,7.5307,1.1506,-0.2298,10.1906,-0.1709
0.5000,20,10,7.3636,1.0607,-0.2216,10.0314,-0.1463
0.8000,20,10,7.1836,0.9314,-0.2312,9.9289,-0.1200
0.7000,30,10,7.0900,0.9945,-0.2724,9.9247,-0.1463
0.7000,50,10,7.4176,0.9541,-0.2517,9.8775,-0.2292
0.6000,20,10,7.2824,1.0408,-0.2538,9.8245,-0.1510
0.8000,30,10,6.9878,0.9476,-0.2104,9.7948,-0.1662
0.7000,20,10,7.1190,0.9882,-0.2319,9.7525,-0.1321
0.8000,20,5,6.9587,0.9376,-0.2545,9.3896,-0.2099
0.7000,20,5,6.9668,0.9700,-0.2574,9.3154,-0.1848
0.4000,20,10,6.8251,1.0482,-0.2594,9.1797,-0.2195
0.8000,30,5,6.5534,0.9637,-0.2229,9.0168,-0.1881
0.5000,20,5,7.2984,1.0712,-0.2018,8.9485,-0.1479
0.8000,50,5,6.7599,0.8868,-0.2650,8.5916,-0.2069
0.5000,30,5,6.8677,1.0968,-0.2129,8.5392,-0.1508
0.6000,20,5,6.7888,1.0178,-0.2463,8.5353,-0.1731
0.8000,60,10,6.6486,0.8052,-0.2727,8.4287,-0.2510
0.6000,30,5,6.6747,1.0634,-0.2276,8.4017,-0.1870
0.7000,30,5,6.3527,0.9637,-0.2267,8.3696,-0.1633
0.8000,10,10,6.0019,0.9237,-0.3465,8.3250,-0.2432
0.6000,30,3,6.4907,1.1025,-0.2472,8.3024,-0.1877
0.4000,30,5,6.5529,1.1197,-0.2099,8.2373,-0.1634
0.6000,50,10,6.6270,0.9415,-0.3053,8.2225,-0.2976
0.4000,20,5,6.5993,1.0654,-0.2348,8.1915,-0.1529
0.6000,10,10,6.2257,1.0177,-0.3362,8.1814,-0.2259
0.4000,50,10,6.4096,0.9780,-0.3493,8.0121,-0.3292
0.7000,20,3,6.1963,0.9622,-0.2822,7.9822,-0.2151
0.5000,30,3,5.9565,1.1036,-0.2394,7.9617,-0.1969
0.8000,30,3,6.2839,0.9578,-0.1868,7.9594,-0.1693
0.5000,20,3,5.9107,1.0604,-0.2809,7.9404,-0.2579
0.6000,20,3,6.1132,1.0292,-0.2919,7.9244,-0.2376
0.7000,30,3,6.1881,0.9737,-0.2604,7.8517,-0.2259
0.7000,10,10,6.0172,0.9537,-0.3715,7.8298,-0.2518
0.8000,20,3,6.0625,0.9159,-0.2170,7.8296,-0.1781
0.8000,70,10,6.0367,0.7650,-0.2672,7.7426,-0.2632
0.8000,10,5,5.7448,0.8741,-0.3318,7.7051,-0.2089
0.7000,50,5,6.0089,0.8691,-0.3264,7.6761,-0.2406
0.6000,60,10,6.0457,0.8500,-0.2970,7.6544,-0.2477
0.5000,10,10,5.7352,0.9788,-0.3005,7.6313,-0.2246
0.5000,50,10,6.2187,0.9197,-0.3589,7.6280,-0.3233
0.7000,60,10,6.0704,0.8194,-0.2955,7.6112,-0.2118
0.3000,30,10,5.8234,1.0213,-0.3097,7.5927,-0.2183
0.4000,60,10,5.9518,0.8884,-0.2998,7.5629,-0.2374
0.7000,10,5,5.7321,0.9020,-0.3011,7.4671,-0.1834
0.8000,10,3,5.6254,0.9144,-0.2882,7.4045,-0.1715
0.8000,60,5,5.9536,0.7802,-0.2928,7.4012,-0.2104
0.7000,10,3,5.6438,0.9584,-0.2733,7.3354,-0.2179
0.8000,50,3,5.9976,0.8786,-0.2781,7.3081,-0.1952
0.7000,70,10,5.6709,0.7725,-0.3225,7.2899,-0.2776
0.3000,10,10,5.6088,0.9777,-0.2923,7.2693,-0.2511
0.8000,80,10,5.6934,0.6898,-0.2603,7.2525,-0.2252
0.6000,70,10,5.6079,0.7914,-0.3139,7.2484,-0.2656
0.4000,10,10,5.6661,0.9841,-0.2755,7.2374,-0.2359
0.3000,20,10,5.6966,0.9541,-0.3801,7.2283,-0.3570
0.7000,80,10,5.6544,0.7186,-0.2564,7.2200,-0.2467
0.7000,50,3,5.6949,0.8934,-0.3710,7.1923,-0.3128
0.5000,60,10,5.7261,0.8294,-0.3073,7.1005,-0.2385
0.6000,80,10,5.4527,0.7220,-0.2978,7.0281,-0.2246
0.6000,10,5,5.4489,0.9316,-0.2996,6.9463,-0.1719
0.8000,70,5,5.5253,0.7366,-0.3060,6.9214,-0.2333
0.3000,30,5,5.4715,1.0239,-0.2863,6.9148,-0.1880
0.4000,70,10,5.3337,0.8262,-0.3651,6.8933,-0.3275
0.6000,50,3,5.3109,0.9129,-0.3606,6.8711,-0.2871
0.6000,50,5,5.5661,0.8713,-0.3352,6.8408,-0.3123
0.4000,30,3,5.3051,1.0645,-0.2974,6.8156,-0.2574
0.4000,80,10,5.2719,0.7729,-0.3246,6.7750,-0.2945
0.6000,10,3,5.1578,0.9657,-0.2729,6.7155,-0.2430
0.5000,70,10,5.3879,0.7813,-0.3121,6.6764,-0.2792
0.5000,80,10,5.3678,0.7311,-0.2883,6.6587,-0.2469
0.3000,20,5,5.4621,0.9629,-0.2817,6.6443,-0.2030
0.8000,60,3,5.4658,0.7941,-0.3034,6.5384,-0.1922
0.4000,50,5,5.3429,0.8869,-0.4052,6.4967,-0.4009
0.4000,20,3,5.0884,0.9965,-0.3237,6.4862,-0.2983
0.3000,60,10,5.2518,0.8463,-0.3958,6.4140,-0.3618
0.8000,80,5,5.1347,0.6568,-0.3157,6.3927,-0.2181
0.5000,50,5,5.1837,0.8367,-0.4145,6.3853,-0.4080
0.6000,60,5,5.1299,0.7831,-0.3397,6.3608,-0.2309
0.8000,70,3,5.4089,0.7990,-0.3238,6.3510,-0.2615
0.3000,50,10,5.2378,0.8723,-0.4850,6.2897,-0.4536
0.7000,60,5,5.1121,0.7475,-0.3549,6.2609,-0.2707
0.8000,80,3,5.1038,0.7343,-0.2587,6.2451,-0.2079
0.6000,60,3,4.9555,0.8406,-0.3582,6.2102,-0.2565
0.5000,50,3,4.7315,0.8581,-0.3813,6.2048,-0.3506
0.5000,10,5,5.2508,0.9246,-0.3148,6.2034,-0.2419
0.5000,10,3,4.7488,0.9450,-0.3171,6.1330,-0.2660
0.5000,60,5,4.9256,0.7739,-0.3415,6.1248,-0.2892
0.7000,70,5,4.8879,0.7059,-0.4126,6.1093,-0.3542
0.3000,70,10,4.9504,0.8014,-0.4368,6.0824,-0.4025
0.3000,80,10,4.8371,0.7551,-0.4170,6.0568,-0.3839
0.7000,80,3,4.7909,0.7360,-0.3380,6.0287,-0.2926
0.4000,60,5,4.9015,0.7989,-0.3384,6.0206,-0.2829
0.7000,70,3,4.9469,0.7900,-0.4375,6.0179,-0.4129
0.6000,70,5,4.8219,0.7316,-0.3681,5.9991,-0.3206
0.4000,70,5,4.7684,0.7880,-0.3826,5.9744,-0.3358
0.7000,60,3,4.8634,0.7817,-0.4050,5.9706,-0.3308
0.6000,70,3,4.8362,0.8243,-0.4159,5.9339,-0.3853
0.4000,10,5,5.1184,0.9348,-0.3040,5.8939,-0.2947
0.4000,50,3,4.6038,0.8732,-0.4043,5.8744,-0.3598
0.3000,10,5,4.9428,0.9371,-0.2905,5.8714,-0.2580
0.7000,80,5,4.7593,0.6514,-0.3329,5.8641,-0.2974
0.3000,70,5,4.7537,0.8014,-0.3922,5.8073,-0.3223
0.5000,60,3,4.5439,0.8067,-0.3461,5.7946,-0.2787
0.6000,80,3,4.5499,0.7480,-0.3384,5.7741,-0.2934
0.5000,70,5,4.6687,0.7277,-0.3370,5.7354,-0.2901
0.3000,60,5,4.8414,0.8018,-0.3965,5.7179,-0.3321
0.3000,50,5,4.9366,0.8464,-0.4924,5.7175,-0.4783
0.4000,80,5,4.5624,0.7186,-0.3393,5.7070,-0.3164
0.6000,80,5,4.5621,0.6567,-0.3268,5.6099,-0.2792
0.4000,10,3,4.5853,0.9461,-0.3337,5.6052,-0.2976
0.3000,80,5,4.5176,0.7306,-0.3724,5.5755,-0.3298
0.3000,30,3,4.3461,0.9548,-0.3412,5.4895,-0.2853
0.4000,60,3,4.3163,0.8107,-0.4060,5.4727,-0.3463
0.5000,80,5,4.4468,0.6619,-0.2977,5.4566,-0.2396
0.5000,70,3,4.4256,0.7898,-0.3978,5.3901,-0.3461
0.5000,80,3,4.2366,0.7305,-0.3197,5.3636,-0.2675
0.3000,20,3,4.1255,0.8797,-0.3561,5.2927,-0.3013
0.4000,70,3,4.2641,0.8125,-0.4639,5.0902,-0.4272
0.4000,80,3,4.0589,0.7478,-0.4114,5.0421,-0.4008
0.3000,10,3,3.9756,0.8832,-0.3746,5.0157,-0.3112
0.3000,50,3,4.0870,0.8227,-0.4924,4.9942,-0.4662
0.3000,60,3,3.7483,0.7549,-0.4975,4.4948,-0.4150
0.3000,80,3,3.4128,0.6860,-0.4916,4.2889,-0.4126
0.3000,70,3,3.5944,0.7372,-0.5269,4.2386,-0.4215
